hotel_name,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state,address,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,description,check_in_time,check_out_time,room_types,data_source,data_quality_score
The Leela Palace Chennai,4.5,Excellent,1261.0,5.0,Raja Annamalai Puram,,,,10800.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
"The Raintree, Annasalai",4.4,Excellent,2376.0,5.0,Mount road,,,,7299.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Hablis,4.2,Very Good,4529.0,4.0,Mount road ,Chennai Airport,5.9 km ,5.9,5271.0,1124.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Novotel Chennai Chamiers Road,4.3,Excellent,1002.0,5.0,Nandanam,,,,7391.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
The Residency,4.2,Very Good,1714.0,4.0,T Nagar,,,,5336.0,1455.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
The Residency Towers,4.3,Excellent,1151.0,5.0,T Nagar,,,,6696.0,1826.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Novotel Chennai OMR - An Accor Brand,4.3,Excellent,1001.0,5.0,Sholinganallur,,,,6134.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Hotel Southern Comfort ( Chennai Airport ),3.6,Very Good,2962.0,3.0,Chennai Airport ,Chennai Airport,1.3 km ,1.3,2870.0,757.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Lemon Tree Hotel Chennai,3.6,Very Good,3059.0,4.0,Saidapet ,Chennai Airport,7.8 km ,7.8,2487.0,903.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
The Pride Hotel Chennai,3.6,Very Good,1911.0,4.0,Kilpauk,,,,3399.0,408.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
"Ginger Chennai, Vadapalani",3.5,Very Good,2282.0,3.0,Vadapalani,,,,2699.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
UPAR Nungambakkam,4.1,Very Good,281.0,,Nungambakkam,,,,2716.0,633.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Ginger Chennai,3.5,Very Good,2071.0,3.0,Tharamani,,,,3299.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Holiday Inn Express Chennai OMR Thoraipakkam,3.5,Very Good,2087.0,4.0,Thoraipakkam,,,,3680.0,480.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Raj Park Chennai,3.6,Very Good,1158.0,4.0,Teynampet,,,,3953.0,935.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
"UPAR Uthandi, ECR
Like a 3",3.6,Very Good,94.0,,East Coast Road (ECR),,,,1317.0,397.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Hotel Abu Palace,3.4,Good,1592.0,4.0,Purasawalkam ,Chennai Egmore Railway Station,920 m ,0.92,2947.0,789.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Ramada Chennai Egmore,3.9,Very Good,4600.0,4.0,Egmore,,,,4557.0,1078.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Hyatt Regency Chennai,4.1,Very Good,1152.0,5.0,Teynampet,,,,7499.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
"Lemon Tree Hotel, Shimona, Chennai",4.0,Very Good,1288.0,4.0,Manapakkam ,Chennai Airport,9.0 km ,9.0,2819.0,1115.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Trident Chennai,4.5,Excellent,1140.0,5.0,Chennai Airport ,Chennai Airport,3.0 km ,3.0,12750.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Holiday Inn Chennai OMR IT Expressway,4.2,Very Good,1676.0,5.0,Thiruvanmiyur,,,,7499.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Ibis Chennai SIPCOT - An Accor Brand,4.0,Very Good,1479.0,3.0,Egatoor ,city centre,31.2 km ,31.2,3299.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
The Accord Metropolitan,4.1,Very Good,2220.0,5.0,T Nagar,,,,6500.0,1957.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Park Hyatt Chennai,4.5,Excellent,525.0,5.0,Guindy ,Chennai Airport,7.8 km ,7.8,9000.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
OYO Home Fantasea Uthandi Near Juhu Beach,1.9,Poor,7.0,,Uthandi,,,,769.0,40.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Gokulam Park Sabari - Siruseri SIPCOT,4.2,Very Good,1271.0,4.0,Navallur,,,,5719.0,1244.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
BOULEVARD BY DESIGN HOTEL,4.1,Very Good,821.0,4.0,Velachery ,Chennai Airport,8.7 km ,8.7,4860.0,1026.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Fairfield by Marriott Chennai OMR,4.2,Very Good,983.0,4.0,Sholinganallur,,,,4850.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
ITC Grand Chola - A Luxury Collection Hotel,4.4,Excellent,2603.0,5.0,Guindy ,Chennai Airport,7.8 km ,7.8,12500.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
The Ambassador Pallava,4.0,Very Good,1926.0,4.0,Egmore,,,,8079.0,2432.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Le Royal Meridien,3.9,Very Good,1968.0,5.0,Mount road ,Chennai Airport,5.6 km ,5.6,9000.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
"Taj Wellington Mews, Chennai",4.7,Excellent,327.0,5.0,Tharamani,,,,10560.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Novotel Chennai Sipcot - An Accor Brand,4.3,Excellent,855.0,5.0,Egatoor ,city centre,31.6 km ,31.6,8138.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
The Mount Manor,3.4,Good,874.0,3.0,Chennai Airport ,Chennai Airport,3.8 km ,3.8,2350.0,634.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Green Park Chennai,4.2,Very Good,1503.0,5.0,Vadapalani,,,,6696.0,1368.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Mango Hill central Chennai,3.2,Good,196.0,3.0,T Nagar,,,,3314.0,677.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
