Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,city,state
Novotel Mumbai International Airport,4.4,Excellent,102,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.8 km ,"8,299",,Mumbai,Maharashtra
Radisson Blu Mumbai International Airport,4.4,Excellent,2166,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.1 km ,"7,499",,Mumbai,Maharashtra
Sun-N-Sand,4.2,Very Good,2353,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,"8,835","2,660",Mumbai,Maharashtra
The St. Regis Mumbai,4.5,Excellent,1328,5,South Mumbai ,Tata memorial cancer hospital,640 m ,"12,500",,Mumbai,Maharashtra
Niranta Airport Transit Hotel & Lounge Terminal 2 Arrivals/Landside,4,Very Good,1443,4,In Mumbai Airport ,,,"9,303","2,501",Mumbai,Maharashtra
"Zostel Mumbai
Like a 3",4,Very Good,738,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,"1,342",285,Mumbai,Maharashtra
"President, Mumbai - IHCL SeleQtions",4.4,Excellent,2510,5,South Mumbai ,Queen's Necklace - Marine Drive,2.4 km ,"10,400",,Mumbai,Maharashtra
Novotel Mumbai Juhu Beach,3.6,Very Good,2306,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.6 km ,"8,500",,Mumbai,Maharashtra
Ibis Mumbai Airport - An Accor Brand,3.6,Very Good,1990,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,680 m ,"6,499",,Mumbai,Maharashtra
"Ginger Mumbai, Andheri (MIDC)",3.4,Good,2721,3,Jogeshwari East ,T2 - Chhatrapati Shivaji International Airport,5.3 km ,"2,624",,Mumbai,Maharashtra
