hotel_name,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state
Crossway Parklane Airport Hotel,3.2,Good,517,3,Meenambakkam ,Chennai Airport,2.9 km ,2.9,2544,574,Chennai,Tamil Nadu
Hotel Ashok Residency,3.7,Very Good,559,3,Porur,,,,4290,933,Chennai,Tamil Nadu
Hotel Greens Gate (Near Central station),3.6,Very Good,1869,,Poongavanapuram,,,,1887,498,Chennai,Tamil Nadu
HOTEL RANJITH,4,Very Good,159,3,Near US Consulate,,,,5208,1064,Chennai,Tamil Nadu
"Welcomhotel by ITC Hotels, GST Road, Chennai",4.2,Very Good,510,5,Singaperumal Koil ,city centre,43.6 km ,43.6,7200,,Chennai,Tamil Nadu
Regenta Central RS Chennai SIPCOT OMR,4.4,Excellent,740,4,Egatoor ,city centre,31.6 km ,31.6,3824,459,Chennai,Tamil Nadu
CRESCENT PARK (near US Consulate Chennai),4.1,Very Good,284,3,Nungambakkam,,,,2307,471,Chennai,Tamil Nadu
Harrisons,4,Very Good,604,3,Nungambakkam,,,,3906,798,Chennai,Tamil Nadu
MGM Beach Resorts (15Kms before Mahabalipuram),3.9,Very Good,2900,4,Muttukadu ,city centre,31.8 km ,31.8,25110,7812,Chennai,Tamil Nadu
PARK PLAZA CHENNAI OMR,4,Very Good,198,5,Thoraipakkam,,,,4200,,Chennai,Tamil Nadu
Feathers A Radha Hotel Chennai,4.3,Excellent,447,5,Manapakkam ,Chennai Airport,9.7 km ,9.7,8999,,Chennai,Tamil Nadu
V7 HOTEL,3.2,Good,1120,3,Porur,,,,3667,896,Chennai,Tamil Nadu
"Keys Select by Lemon Tree Hotels, Katti-Ma, Chennai",3.7,Very Good,400,3,Adyar,,,,2240,796,Chennai,Tamil Nadu
Hostel Gandhi,4.2,Very Good,109,,Saidapet ,Chennai Airport,8.0 km ,8,1307,107,Chennai,Tamil Nadu
Grand Cascade,3.6,Very Good,1402,3,Poongavanapuram ,Chennai Central Railway Station,730 m ,0.73,2052,502,Chennai,Tamil Nadu
Days Hotel Chennai OMR,4.3,Excellent,392,4,Kelambakkam ,city centre,35.3 km ,35.3,2767,565,Chennai,Tamil Nadu
PP Residency,4,Very Good,421,,Chennai ,city centre,35.0 km ,35,2768,713,Chennai,Tamil Nadu
Highnest | Rooms & Caretaker,3.5,Very Good,52,,Kattankolatur R.F. ,city centre,40.6 km ,40.6,2815,633,Chennai,Tamil Nadu
Grand Elegant,3.9,Very Good,1064,,Poongavanapuram,,,,2046,418,Chennai,Tamil Nadu
Accord Chrome,4.5,Excellent,217,,Chromepet ,Chennai Airport,5.4 km ,5.4,6975,1425,Chennai,Tamil Nadu
AVENUE HOTEL -CHENNAI AIRPORT,3.6,Very Good,1338,,Pallavaram ,Chennai Airport,3.1 km ,3.1,2671,546,Chennai,Tamil Nadu
La Woods hotel (1Km from us consulate chennai),4,Very Good,323,,Mount road,,,,3360,403,Chennai,Tamil Nadu
E Hotel,4.1,Very Good,590,4,Royapettah,,,,6749,810,Chennai,Tamil Nadu
Hotel Bakya Slot - Maraimalai Nagar,3.6,Very Good,210,3,Maraimalai Nagar ,city centre,37.4 km ,37.4,2046,484,Chennai,Tamil Nadu
Pharos Hotels,4.3,Excellent,73,3,Nungambakkam,,,,4650,1100,Chennai,Tamil Nadu
