hotel_id,hotel_name
3689,Hotel Krishna
2314,Fraser Suites
4324,Imperial Villa
100,The Leela
2928,Radisson Blu MBD Hote
4555,Savoy Suites
192,Gushi International
2466,Rak International
2017,Sapna
3990,Cottage Ganga Inn
3246,Ajanta
1984,Shere Punjab
3412,IRCTC-Ginger Rail Yatri Niwas
1193,Indus Biznotel
1766,Red Fox Hotel
2635,Silver Ferns
2606,Country Inn By Carlson
3120,Uppal International
3866,the umbro
1229,sunstar heights
2690,Cottage Yes Please
3831,Mapple Express
1573,Ikhaya Hotel
3501,Sri Vinayak
1293,Airport City
3415,Good Times
872,Shanti Home
167,b nineteen
2182,Hotel Palm Greens
2190,Hotel Namaskar
1198,Hotel Arina Inn
3258,NIE Guest House
3075,Maulsari
96,New Delhi City Centre
4007,Raj's Cozy Inn
1188,Sterling Inn
3666,Glow Inn
3907,Rajmahal Inn
81,Gold Regency
3757,Satyam
1740,Aman International
3672,Guruvas Inn
2785,Hotel Durga International Dx
153,Hotel Krishna Deluxe
1261,Faculty Guest House
4027,Hotel South Gate
4479,Amma House
4443,Africa Avenue
3318,Select Hotel
4174,Hotel Alka Annexe
791,Holiday Inn Hotels and Resorts
2989,Hotel Lal's Haveli
4210,Hare Rama guest house
4249,Clark's Inn
1559,Hotel Grand Park Inn
1850,Hotel City Star
1422,White House
857,Shell Deluxe
4562,Amax Inn
1117,Hotel S&b East Inn
310,Bloomrooms
1838,Gaur Green Avenue 
1361,Maharaja Residency 
1584,Hotel City Heights
3650,Galgotia's Hotel
3066,Hotel Le Cadre
3199,Bed&Chaï Guesthouse
3500,Smyle Inn
496,Shangri-La's Eros Hotel
1477,the spot
185,HOTEL PALACE HEIGHTS
206,Ajay guesthouse
411,Hotel Sunstar Grand
1109,Santana Delhi Guesthouse
2317,Metropolis Guest House
3997,New Ashiana CGHS
306,Vishagya's house
2125,Prakash Kutir B&B
169,Sewa Grand
4471,Pitampura Club
2403,Airbnb - Cozy apartment
3160,Hotel Arch
2352,Kiran Hotel
1908,Ever Green
2120,Hridey Inn
212,Koenig Inn Delux
3853,Livasa Inn
85,Hotel UK
2216,ASR Guest House
4011,Holiday Inn
1830,City Park Hotel
2443,Brown Bread Bakery Guest House
1780,Laxmi packers and movers
1062,hotel Anupam palace
1392,cosmo
3245,You and Me
880,Hotel Zara Grand
1899,Hotel Shiv Shankara
2023,Sapphire Inn Dx 379
2265,Narmada Aparment for Member of Parliament
4006,wahoe Commune
2766,The Lalit New Delhi
2012,Jammu and Kashmir house
181,Hotel SP
1913,Devna Bed & breakfast
433,Shorout villa
290,Parth Palace
3772,Atrio A Boutique Hotel
3465,Townhouse 002 OYO Rooms
536,Mahesh Guesthouse
2380,Hotel Singh Sons
189,OYO 7684 Hotel Repose Villa
2674,Hotel Rockland
2804,Cottage Lord Krishna
280,Hotel Hamilton Lodge
367,Hotel Moon Palace dx
3363,Soul Stay Hostel
3183,Shanti Palace
271,The Janpath Hotel
3502,Hotel Vintage Inn
1533,International Inn
1628,Hotel South View
912,Shervani
3173,The Muse
112,Tashi
2504,Hotel Delhi 37
368,Hotel India International Sitare - correct location!!
1505,Hotel ramraj deluxe
221,Hotel Clark International
747,Shuhul Continental
2856,Hotel Saket 27
3828,Heritage Inn
2890,"76, Friends Colony"
2283,The Manor
462,Hotel Sunshine
4065,Yes Please Guest House
4609,Odisha Hotel
552,Kehar Palace
4579,Jaypee Siddharth
3490,Hotel Perfect
2586,Hotel Bella Vista
2541,J's Inn
3078,The desire Hostel
1498,Golden Grand
403,Regent Grand
2632,Uttarakhand Sadan
2522,The Royal Plaza
4415,Kelvish hotel
1564,Hotel Ashoka Palace
651,City Hotel
2700,Hotel Sun International
1809,Prínce Palace Deluxe
878,OYO Townhouse
1488,Chalet
4171,OM PLAZA
1666,Hotel Taj Princess
1667,Wood Castle Hotel
3906,Hotel La Suite
193,Picasso
1937,Wellcome hotel
1651,Hotel CityLite 2019
1245,The Umrao
315,The Sentinel
3452,Hotel Merry Gold
3733,Metropolitan Express
812,Airport Hotell Metropolitan Express
